SUBST�NCIA;PF 17% ALC;PF 17;TIPO DE PRODUTO;COMERCIALIZA��O 2019
HIDRÓXIDO DE ALUMÍNIO;64,59;74,19;Novo;Sim
MALEATO DE DEXCLORFENIRAMINA;8,67;9,96;Genérico;Sim
"SULFATO FERROSO;ÁCIDO FOSFÓRICO";18,32;21,04;Específico;Sim
SUCCINATO SÓDICO DE HIDROCORTISONA;158,51;158,51;Genérico;Não
DIVALPROATO DE SÓDIO;39,94;39,94;Novo;Sim
TARTARATO DE BRIMONIDINA;26,92;26,92;Similar;Não
ESPIRAMICINA;55,20;55,20;Novo;Sim
CETOROLACO TROMETAMINA;38,33;38,33;Similar;Não
DICLOFENACO SÓDICO;5,57;5,57;Similar;Não
CLORIDRATO DE CINACALCETE;391,87;450,15;Genérico;Não
RESINATO DE DICLOFENACO;10,72;10,72;Genérico;Não
"FOSFATO DISSÓDICO DE BETAMETASONA;DIPROPIONATO DE BETAMETASONA";113,66;113,66;Similar;Não
"ÓXIDO DE ZINCO;RETINOL;COLECALCIFEROL";322,32;370,26;Específico;Sim
AZITROMICINA;311,99;311,99;Genérico;Sim
CLORIDRATO DE DULOXETINA;465,45;465,45;Genérico;Não
HIDROCLOROTIAZIDA;;;Similar;Não
"PARACETAMOL;CLORIDRATO DE FENILEFRINA";160,92;184,85;Similar;Sim
NITRATO DE FENTICONAZOL;27,52;31,61;Genérico;Sim
BICARBONATO DE SÓDIO;;;Específico;Sim
NI/NC;;;Biológico;Sim
"TRETINOÍNA;FLUOCINOLONA ACETONIDA;HIDROQUINONA";50,12;57,57;Genérico;Sim
VACINA ADSORVIDA HEPATITE A (INATIVADA);98,61;98,61;Novo;Sim
CLORIDRATO DE METFORMINA;141,11;141,11;Novo;Não
LORATADINA;33,73;38,75;Novo;Sim
BROMETO DE IPRATRÓPIO;9,04;9,04;Genérico;Sim
CLORIDRATO DE TRAZODONA;33,92;33,92;Similar;Não
PANTOPRAZOL SÓDICO SESQUI-HIDRATADO;68,40;68,40;Similar;Sim
DIAZEPAM;11,52;11,52;Genérico;Sim
CLORIDRATO DE RANITIDINA;77,35;77,35;Genérico;Não
SUCCINATO DE METOPROLOL;21,41;21,41;Novo;Sim
"ÁCIDO SALICÍLICO;DIPROPIONATO DE BETAMETASONA";14,12;16,23;Genérico;Sim
INDAPAMIDA;19,69;19,69;Similar;Não
OXALATO DE ESCITALOPRAM;33,12;33,12;Similar;Não
GLIMEPIRIDA;19,65;19,65;Genérico;Sim
FLURANDRENOLIDA;22,25;25,55;Similar;Sim
"PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA";26,36;30,28;Novo;Não
CLORIDRATO DE CIPROFLOXACINO ;17,80;17,80;Similar;Sim
PAMIDRONATO DISSÓDICO;4171,55;4171,55;Similar;Sim
REGORAFENIBE;13182,06;15142,67;Novo;Sim
"CLORDIAZEPÓXIDO;CLORIDRATO DE AMITRIPTILINA";8,07;8,07;Similar;Sim
SINVASTATINA;13,58;13,58;Genérico;Não
ATENOLOL;15,28;15,28;Similar;Não
"HIDROCLOROTIAZIDA;TARTARATO DE METOPROLOL";31,89;31,89;Novo;Não
OLANZAPINA;429,12;429,12;Novo;Não
FLUCONAZOL;14802,59;14802,59;Genérico;Não
NITRATO DE MICONAZOL;14,98;17,21;Genérico;Não
PIROXICAM;25,16;28,90;Novo;Não
ÁGUA PARA INJETÁVEIS;187,55;187,55;Específico;Sim
PANTOPRAZOL;91,11;91,11;Similar;Sim
RISPERIDONA;30,95;30,95;Similar;Sim
AMOXICILINA TRI-HIDRATADA;17,29;17,29;Similar;Sim
COLECALCIFEROL;285,29;327,73;Específico;Não
VÍRUS DA HEPATITE A PURIFICADO INATIVADO;8298,44;8298,44;Biológico;Não
CLOTRIMAZOL;7,67;8,81;Similar;Sim
SENNA ALEXANDRINA MILL.;25,25;29,00;Fitoterápico;Sim
CLORIDRATO DE BROMEXINA;10,25;11,78;Similar;Não
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";103,84;103,84;Similar;Não
PEGVISOMANTO;16392,32;16392,32;Biológico;Não
SULFATO DE MORFINA;173,55;173,55;Similar;Não
CLOTRIMAZOL;28,72;32,99;Genérico;Sim
ÁCIDO FUSÍDICO;26,81;30,79;Novo;Sim
CETOPROFENO;43,06;43,06;Similar;Não
CETOROLACO TROMETAMINA;27,81;27,81;Similar;Sim
PREGABALINA;95,89;95,89;Similar;Sim
CARBOCISTEÍNA;15,82;18,18;Similar;Sim
DIPIRONA;90,22;103,64;Genérico;Sim
TARTARATO DE METOPROLOL;19,31;19,31;Similar;Sim
"ESTRADIOL;ACETATO DE NORETISTERONA";92,11;92,11;Novo;Sim
CARVEDILOL;71,69;71,69;Genérico;Sim
DEXLANSOPRAZOL;120,59;138,53;Novo;Sim
CLORIDRATO DE TIAMINA;17,02;19,55;Específico;Sim
"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";141,22;141,22;Genérico;Não
MICOFENOLATO DE MOFETILA;451,00;451,00;Genérico;Não
"ESTRADIOL HEMI-HIDRATADO;DIDROGESTERONA";52,47;52,47;Novo;Sim
BROMETO DE IPRATRÓPIO;7,28;7,28;Genérico;Sim
CLORIDRATO DE CEFEPIMA;106,77;106,77;Genérico;Não
TARTARATO DE BRIMONIDINA;45,78;45,78;Similar;Sim
"GLICOSE;CLORETO DE SÓDIO";136,29;136,29;Específico;Não
GINKGO BILOBA L.;29,38;33,75;Fitoterápico;Não
ACETILCISTEÍNA;17,66;20,29;Similar;Sim
TRETINOÍNA;20,33;20,33;Genérico;Não
TOPIRAMATO;132,99;132,99;Genérico;Sim
LOPERAMIDA;3,41;3,92;Genérico;Sim
CLORIDRATO DE RANITIDINA;45,11;45,11;Novo;Não
"CARBIDOPA (PORT. 344/98 LISTA C 1);LEVODOPA";213,48;213,48;Similar;Sim
TOBRAMICINA;14,27;14,27;Genérico;Não
BESILATO DE ANLODIPINO;10,87;10,87;Similar;Não
HEDERA HELIX (HERA);48,81;56,06;Fitoterápico;Não
LAMOTRIGINA;419,26;419,26;Genérico;Não
PREDNISOLONA;28,46;28,46;Genérico;Não
"CLORIDRATO DE CIPROEPTADINA;COBAMAMIDA";11,59;13,31;Novo;Sim
TOPIRAMATO;53,31;53,31;Genérico;Não
CARBONATO DE LÍTIO;14,58;14,58;Novo;Não
CETOCONAZOL;27,93;32,08;Similar;Sim
DICLORIDRATO DE PRAMIPEXOL;29,75;29,75;Similar;Não
ALBENDAZOL;87,13;87,13;Genérico;Sim
DICLORIDRATO DE LEVOCETIRIZINA;22,12;25,41;Genérico;Sim
DICLOFENACO DIETILAMÔNIO;14,51;16,67;Similar;Não
BACLOFENO;15,48;15,48;Similar;Sim
AMOXICILINA TRI-HIDRATADA;32,08;32,08;Genérico;Sim
"MESILATO DE DOXAZOSINA;FINASTERIDA";53,61;61,59;Novo;Não
VALSARTANA;109,84;109,84;Similar;Sim
ALTEPLASE;;;Novo;Sim
AZITROMICINA DI-HIDRATADA;1109,58;1109,58;Genérico;Sim
CLONAZEPAM;6,67;6,67;Genérico;Não
"PARACETAMOL;MALEATO DE CARBINOXAMINA;CLORIDRATO DE FENILEFRINA";96,70;111,08;Similar;Sim
IMUNOGLOBULINA HUMANA ;2520,12;2520,12;Biológico;Não
"HIDROCLOROTIAZIDA;OLMESARTANA MEDOXOMILA";50,65;50,65;Similar;Não
MONONITRATO DE ISOSSORBIDA;6,43;6,43;Genérico;Sim
COLECALCIFEROL;194,84;223,82;Específico;Sim
OXALATO DE ESCITALOPRAM;117,71;117,71;Similar;Sim
CLORIDRATO DE ROPIVACAÍNA;184,80;184,80;Similar;Sim
BROMIDRATO DE CITALOPRAM;90,07;90,07;Genérico;Não
"SULFATO DE NEOMICINA;CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";20,23;23,24;Similar;Não
ACICLOVIR SÓDICO;3704,69;3704,69;Similar;Sim
PROPIONATO DE CLOBETASOL;19,98;19,98;Similar;Sim
CLONAZEPAM;11,78;11,78;Similar;Sim
"ETINILESTRADIOL;DROSPIRENONA";118,11;118,11;Genérico;Sim
CLORIDRATO DE PAROXETINA;112,63;112,63;Genérico;Sim
"LANSOPRAZOL;CLARITROMICINA;AMOXICILINA TRI-HIDRATADA";151,59;151,59;Similar;Não
CLORIDRATO DE AMBROXOL;662,52;761,06;Genérico;Sim
DIPIRONA;3,92;4,50;Genérico;Sim
CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO;27,58;27,58;Genérico;Sim
CLORIDRATO DE METFORMINA;13,55;13,55;Genérico;Sim
MESILATO SÓDICO DE COLISTINA;22,46;22,46;Genérico;Não
CITARABINA;99,92;99,92;Genérico;Não
ESOMEPRAZOL MAGNÉSICO;171,40;171,40;Genérico;Sim
COLECALCIFEROL;229,10;263,17;Específico;Não
BROMAZEPAM;35,11;35,11;Similar;Sim
CLORIDRATO DE PROPRANOLOL;5,22;5,22;Genérico;Sim
"CLORETO DE CÁLCIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;ÁCIDO ACÉTICO";;;Específico;Sim
CLORIDRATO DE PROPAFENONA;72,43;72,43;Novo;Sim
RISPERIDONA;170,67;170,67;Genérico;Não
NIMESULIDA;16,53;16,53;Genérico;Não
FOSFATO DE SITAGLIPTINA;91,87;91,87;Similar;Não
"FOSFATO DE SÓDIO MONOBÁSICO MONOIDRATADO;FOSFATO DE SÓDIO DIBÁSICO HEPTAIDRATADO";117,98;135,52;Específico;Sim
VACINA PNEUMOCÓCICA 23-VALENTE (POLISSACARÍDICA);43,54;43,54;Novo;Sim
"CLAVULANATO DE POTÁSSIO;AMOXICILINA TRI-HIDRATADA";155,41;155,41;Genérico;Sim
"DUTASTERIDA;CLORIDRATO DE TANSULOSINA";26,29;30,20;Similar;Não
ALBENDAZOL;18,72;18,72;Genérico;Sim
"CLORIDRATO DE BENSERAZIDA;LEVODOPA";22,77;22,77;Genérico;Não
EXTRATO FLUIDO DE AGRIÃO (NASTURTIUM OFFICINALE);12,59;14,46;Fitoterápico;Não
ESTOLATO DE ERITROMICINA;48,13;48,13;Similar;Não
CLORIDRATO DE PROPRANOLOL;8,61;8,61;Genérico;Não
NISTATINA;12,43;12,43;Genérico;Sim
"HIALURONIDASE;VALERATO DE BETAMETASONA";73,92;84,92;Novo;Sim
CAPTOPRIL;43,69;43,69;Similar;Não
SECNIDAZOL;12,04;13,83;Similar;Sim
RISPERIDONA;130,72;130,72;Similar;Sim
HIDROQUINONA;29,24;33,59;Genérico;Sim
CLORIDRATO DE DOPAMINA;66,01;66,01;Genérico;Sim
HEMITARTARATO DE ZOLPIDEM;54,75;54,75;Novo;Não
"TARTARATO DE BISMUTO E SÓDIO;CLORIDRATO DE PROCAÍNA;SULFATO DE NEOMICINA;MENTOL;NEOMICINA";18,53;21,29;Novo;Sim
LAMOTRIGINA;17,87;17,87;Similar;Não
CLORIDRATO DE NARATRIPTANA;23,99;23,99;Genérico;Não
TESTOSTERONA;166,11;190,82;Novo;Sim
DIPIRONA;13,64;15,67;Similar;Não
CYNARA SCOLYMUS L.;24,46;28,10;Fitoterápico;Não
ATENOLOL;18,20;18,20;Similar;Não
CLORIDRATO DE AMBROXOL;18,26;20,97;Similar;Não
"GESTODENO;ETINILESTRADIOL";24,12;24,12;Similar;Não
DIATRIZOATO DE MEGLUMINA;2946,98;2946,98;Similar;Sim
IMUNOGLOBULINA ANTI-RHO(D);196,43;196,43;Similar;Não
PARACETAMOL;104,36;119,88;Genérico;Sim
CARBAMAZEPINA;16,02;16,02;Genérico;Sim
"FUMARATO DE TENOFOVIR DESOPROXILA;ENTRICITABINA";1156,32;1328,31;Genérico;Não
DESOGESTREL;62,52;62,52;Genérico;Sim
ÁCIDO TRANEXÂMICO;227,86;261,75;Genérico;Não
HIDROXICARBAMIDA;202,86;202,86;Similar;Não
GLICOSE;300,34;300,34;Específico;Não
ATORVASTATINA CÁLCICA;69,84;69,84;Genérico;Não
RIFAMICINA;14,29;14,29;Genérico;Sim
SECNIDAZOL;28,78;33,06;Genérico;Sim
"MALEATO DE CLORFENIRAMINA;PARACETAMOL;CLORIDRATO DE FENILEFRINA";65,23;74,93;Similar;Sim
SINVASTATINA;608,36;608,36;Genérico;Sim
BESILATO DE LEVANLODIPINO;146,16;167,90;Similar;Não
CITRATO DE SILDENAFILA;86,75;99,65;Genérico;Sim
"VALSARTANA;HIDROCLOROTIAZIDA";80,16;80,16;Genérico;Não
ECHINACEA PURPUREA (L.) MOENCH;40,49;46,51;0;Não
"ATENOLOL;CLORTALIDONA";41,29;41,29;Similar;Não
MEROPENÉM TRI-HIDRATADO;1004,06;1004,06;Genérico;Sim
"CLORIDRATO DE LIDOCAINA;GLICOSE";238,96;238,96;Similar;Sim
FLUTRIMAZOL;35,74;41,05;Novo;Não
"GESTODENO;ETINILESTRADIOL";33,82;33,82;Novo;Sim
IOMEPROL;158,19;181,71;Novo;Não
OXACILINA SÓDICA;305,76;305,76;Similar;Sim
MIRTAZAPINA;1501,98;1501,98;Genérico;Não
CLORIDRATO DE FLUOXETINA;115,14;115,14;Genérico;Não
EXTRATOS ALERGÊNICOS DE INSETOS SUGADORES;60,05;68,98;Biológico;Sim
CLOZAPINA;126,69;126,69;Similar;Sim
"SINVASTATINA;EZETIMIBA";125,47;125,47;Genérico;Sim
ATORVASTATINA CÁLCICA;290,66;290,66;Similar;Sim
"HIDROCLOROTIAZIDA;MALEATO DE ENALAPRIL";5,51;5,51;Genérico;Não
DICLOFENACO SÓDICO;117,77;117,77;Similar;Não
PREGABALINA;50,64;50,64;Similar;Não
MESILATO DE DOXAZOSINA;35,52;35,52;Genérico;Sim
CITRATO DE SUFENTANILA;324,90;324,90;Similar;Não
CLORIDRATO DE PROPAFENONA;55,64;55,64;Similar;Sim
DICLORIDRATO DE HIDROXIZINA;22,25;25,55;Genérico;Sim
ORLISTATE;319,79;367,36;Genérico;Não
MINOXIDIL;122,26;140,44;Similar;Sim
LEVOTIROXINA SÓDICA;32,27;32,27;Similar;Sim
COLECALCIFEROL;17,15;19,70;Específico;Sim
PEMBROLIZUMABE;13412,44;15407,32;Biológico;Sim
CITRATO DE FENTANILA;364,48;364,48;Similar;Sim
IOPROMIDA;5705,17;5705,17;Novo;Sim
CARBOCISTEÍNA;16,96;19,49;Genérico;Sim
DICLORIDRATO DE PRAMIPEXOL MONOIDRATADO;73,06;73,06;Genérico;Sim
BROMAZEPAM;45,75;45,75;Novo;Não
CLORIDRATO DE SERTRALINA;78,46;78,46;Genérico;Sim
MICOFENOLATO DE MOFETILA;;;Genérico;Não
NAPROXENO SÓDICO;16,05;18,44;Novo;Sim
BETAMETASONA;14,54;14,54;Genérico;Não
CITRATO DE SILDENAFILA;18,62;21,39;Genérico;Sim
ÁGUA PARA INJETÁVEIS QSP;19,24;19,24;Específico;Não
VALERATO DE BETAMETASONA;26,69;30,66;Novo;Sim
CLORIDRATO DE TERBINAFINA;126,92;126,92;Genérico;Sim
FLUCONAZOL;16,67;16,67;Similar;Sim
CLORIDRATO DE VENLAFAXINA;59,39;59,39;Genérico;Não
CEFTRIAXONA DISSÓDICA HEMIEPTAIDRATADA;1852,58;1852,58;Similar;Sim
LAMOTRIGINA;741,96;741,96;Genérico;Não
PARACETAMOL;20,02;23,00;Novo;Sim
ATORVASTATINA CÁLCICA;49,29;49,29;Similar;Sim
"CLORETO DE AMÔNIO;CITRATO DE SÓDIO;CLORIDRATO DE DIFENIDRAMINA";8,69;9,98;Novo;Não
HEMITARTARATO DE VINORELBINA;252,84;252,84;Similar;Não
CLORIDRATO DE SERTRALINA;48,36;48,36;Novo;Não
CABAZITAXEL;18653,49;18653,49;Novo;Não
CLORIDRATO DE AMIODARONA;26,60;26,60;Genérico;Não
FANCICLOVIR;358,69;358,69;Similar;Sim
VALSARTANA;71,53;71,53;Genérico;Não
AMPICILINA;23,08;23,08;Similar;Sim
CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO;307,73;307,73;Similar;Não
MALEATO DE DEXCLORFENIRAMINA;7,36;8,45;Genérico;Não
ALPRAZOLAM;105,31;105,31;Novo;Sim
"ION CITRATO;BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO";37,47;43,04;Específico;Não
ÁGUA PARA INJETÁVEIS;235,57;235,57;Específico;Sim
HEDERA HELIX L.;9,90;11,37;Fitoterápico;Não
AZATIOPRINA;152,14;152,14;Novo;Sim
OMEPRAZOL;41,88;41,88;Similar;Não
GLIMEPIRIDA;165,20;165,20;Genérico;Não
AZITROMICINA DI-HIDRATADA;75,67;75,67;Genérico;Sim
CLORIDRATO DE BUPROPIONA;136,59;136,59;Novo;Sim
CLORIDRATO DE MEMANTINA;312,24;312,24;Genérico;Não
MESILATO DE IMATINIBE;;;Genérico;Não
PREGABALINA;77,77;77,77;Genérico;Sim
GENFIBROZILA;62,70;62,70;Genérico;Sim
CIPROFLOXACINO;5160,02;5160,02;Genérico;Não
FOSFATO SÓDICO DE PREDNISOLONA;929,87;929,87;Genérico;Sim
FATOR IX DE COAGULAÇÃO;538,42;538,42;Similar;Não
OXCARBAZEPINA;127,76;127,76;Novo;Sim
MESILATO DE DOXAZOSINA;75,54;75,54;Novo;Não
GENFIBROZILA;;;Genérico;Não
CLORIDRATO DE OXIMETAZOLINA;9,60;11,02;Novo;Sim
SUCCINATO DE METOPROLOL;116,14;116,14;Similar;Não
NIMESULIDA;10,53;10,53;Similar;Não
NITRENDIPINO;21,75;21,75;Genérico;Sim
MALEATO DE FLUVOXAMINA;180,92;180,92;Similar;Sim
CLORIDRATO DE CIPROFLOXACINO ;18,45;18,45;Similar;Sim
CLONAZEPAM;18,06;18,06;Novo;Sim
"SINVASTATINA;EZETIMIBA";33,42;33,42;Genérico;Não
CLORIDRATO DE VARDENAFILA;131,27;150,80;Novo;Não
PANCREATINA;140,17;140,17;Biológico;Não
ANIDULAFUNGINA;270,17;270,17;Genérico;Sim
CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO;26,05;26,05;Novo;Sim
VALPROATO DE SÓDIO;54,84;54,84;Similar;Sim
"FUMARATO FERROSO;NITRATO DE TIAMINA;ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO FÓLICO;ÓXIDO DE ZINCO;ÁCIDO ASCÓRBICO;COLECALCIFEROL;CIANOCOBALAMINA";35,14;40,37;Específico;Não
IBANDRONATO DE SÓDIO;691,89;691,89;Similar;Não
PREGABALINA;107,33;107,33;Genérico;Sim
SUCCINATO SÓDICO DE HIDROCORTISONA;267,67;267,67;Similar;Sim
CETOPROFENO;22,10;22,10;Similar;Não
"SOFOSBUVIR;LEDIPASVIR";57411,54;65950,54;Novo;Sim
CLORIDRATO DE BUPROPIONA;158,49;158,49;Similar;Sim
TACROLIMO MONOIDRATADO;2186,26;2511,43;Novo;Sim
SUCCINATO SÓDICO DE METILPREDNISOLONA;860,19;860,19;Genérico;Sim
SULFATO DE ABACAVIR;;;Novo;Não
"SINVASTATINA;EZETIMIBA";71,65;71,65;Genérico;Sim
CLORIDRATO DE SERTRALINA;43,46;43,46;Genérico;Sim
LACOSAMIDA;27,99;32,15;Genérico;Não
"CARISOPRODOL;PARACETAMOL;CAFEÍNA ANIDRA;DICLOFENACO SÓDICO";12,30;14,12;Similar;Sim
"SINVASTATINA;EZETIMIBA";180,98;180,98;Novo;Sim
COLECALCIFEROL;34,61;39,75;Específico;Não
CETOPROFENO;55,99;55,99;Genérico;Não
FENDIZOATO DE CLOPERASTINA;10,57;12,15;Genérico;Não
CLORIDRATO DE AMBROXOL;12,68;14,57;Similar;Não
ABEMACICLIBE;7189,40;8258,70;Novo;Sim
CLORIDRATO DE EPIRRUBICINA;100,46;100,46;Novo;Não
CITRATO DE SILDENAFILA;46,76;53,72;Genérico;Não
DICLORIDRATO DE PRAMIPEXOL MONOIDRATADO;;;Genérico;Não
ROSUVASTATINA CÁLCICA;173,69;173,69;Genérico;Sim
VACINA INFLUENZA TETRAVALENTE (FRAGMENTADA, INATIVADA);879,54;879,54;Biológico;Não
CARBOCISTEÍNA;10,45;12,00;Similar;Não
MESILATO DE DOXAZOSINA;65,82;65,82;Genérico;Não
COLECALCIFEROL;243,52;279,74;Específico;Não
"ION CITRATO;BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO";13,74;15,78;Específico;Sim
INSULINA HUMANA;2460,75;2460,75;Biológico;Não
PREDNISONA;11,92;11,92;Genérico;Não
CEFALOTINA SODICA;381,96;381,96;Similar;Não
INSULINA HUMANA;35,93;35,93;Biológico;Não
"ACETATO DE RETINOL;COLECALCIFEROL";9,47;10,87;Específico;Não
CLORIDRATO DE IMIPRAMINA;50,46;50,46;Novo;Não
GABAPENTINA;42,12;42,12;Novo;Não
CLORIDRATO DE GRANISETRONA;6066,70;6066,70;Genérico;Sim
"MESILATO DE DOXAZOSINA;FINASTERIDA";53,60;61,58;Similar;Sim
FENOFIBRATO;63,31;63,31;Similar;Não
CLOBAZAM;12,45;12,45;Novo;Não
ACETATO DE RACEALFATOCOFEROL;22,36;25,69;Específico;Não
PROPIONATO DE CLOBETASOL;39,16;39,16;Novo;Sim
DESLORATADINA;24,25;27,85;Genérico;Sim
BESILATO DE CISATRACÚRIO;164,63;164,63;Similar;Sim
METRONIDAZOL;;;Similar;Sim
DOMPERIDONA;9,97;11,46;Genérico;Sim
MELOXICAM;29,17;29,17;Genérico;Sim
PANTOPRAZOL SÓDICO SESQUI-HIDRATADO;232,94;232,94;Genérico;Não
TIBOLONA;39,65;39,65;Similar;Não
BENZBROMARONA;20,13;20,13;Similar;Não
CIPROFLOXACINO;90,31;90,31;Similar;Sim
CLORIDRATO DE PROPRANOLOL;8,47;8,47;Genérico;Não
"CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA";20,11;23,10;Similar;Não
CLORIDRATO DE SERTRALINA;109,59;109,59;Genérico;Sim
"NITRATO DE MICONAZOL;TINIDAZOL";26,48;30,42;Similar;Não
CLORIDRATO DE CIPROFLOXACINO ;22,55;22,55;Similar;Não
CITRATO DE SILDENAFILA;42,55;48,87;Genérico;Sim
MIRTAZAPINA;150,19;150,19;Genérico;Não
MICOFENOLATO DE MOFETILA;7376,19;7376,19;Similar;Não
RITONAVIR;65116,86;74801,90;Novo;Sim
RISEDRONATO SÓDICO;88,08;88,08;Genérico;Sim
DICLORIDRATO DE TRIMETAZIDINA;108,57;108,57;Genérico;Sim
"MALEATO ÁCIDO DE TIMOLOL;CLORIDRATO DE DORZOLAMIDA";64,77;64,77;Genérico;Sim
GAMANONACOGUE;4154,36;4154,36;Biológicos;Não
DESOGESTREL;20,83;20,83;Genérico;Não
"LANSOPRAZOL;CLARITROMICINA;AMOXICILINA TRI-HIDRATADA";142,16;142,16;Genérico;Sim
SULTAMICILINA;84,40;84,40;Novo;Não
GLICLAZIDA;35,69;35,69;Genérico;Sim
FUMARATO DE CETOTIFENO;42,35;48,65;Similar;Não
DIPIRONA MONOIDRATADA;7,70;8,85;Genérico;Sim
CLORIDRATO DE AMBROXOL;411,42;472,62;Genérico;Não
CLORIDRATO DE FLUOXETINA;1506,04;1506,04;Similar;Sim
DIMETICONA;9,90;11,37;Similar;Sim
COLCHICINA;28,55;28,55;Genérico;Sim
METOTREXATO;277,25;277,25;Similar;Sim
BROMIDRATO DE GALANTAMINA;56,34;56,34;Similar;Não
OXACILINA SÓDICA;114,42;114,42;Genérico;Não
HIDROCLOROTIAZIDA;6,52;6,52;Similar;Não
"HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA";51,01;51,01;Similar;Sim
COLECALCIFEROL;1314,76;1510,31;Específico;Não
"TROXERRUTINA;CUMARINA";61,30;70,41;Específico;Não
MALEATO DE DEXCLORFENIRAMINA;11,03;12,67;Similar;Não
SUCCINATO DE METOPROLOL;45,75;45,75;Genérico;Sim
TEMOZOLOMIDA;2111,94;2111,94;Genérico;Não
MONTELUCASTE DE SÓDIO;1101,94;1101,94;Similar;Não
NC/NI;361,31;415,04;Novo;Sim
ROSUVASTATINA CÁLCICA;165,78;165,78;Genérico;Não
CLORETO DE SÓDIO;88,13;88,13;Específico;Sim
ACEBROFILINA;651,00;651,00;Genérico;Sim
ASPARTATO DE ORNITINA;70,92;81,47;Similar;Sim
BROMIDRATO DE CITALOPRAM;2817,29;2817,29;Genérico;Não
VACINA RAIVA (INATIVADA);;;Biológico;Não
GAMANONACOGUE;1213,95;1213,95;Biológicos;Não
CIPROFLOXACINO;2167,14;2167,14;Genérico;Não
METILDOPA;24,61;24,61;Novo;Sim
MALEATO DE DEXCLORFENIRAMINA;7,09;8,14;Similar;Sim
SULFATO DE ZINCO HEPTAIDRATADO;796,83;915,34;Específico;Sim
CLORIDRATO DE DONEPEZILA;310,98;310,98;Genérico;Sim
PACLITAXEL;12170,61;12170,61;Similar;Não
"CLORETO DE CÁLCIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;ÁCIDO ACÉTICO";;;Específico;Sim
CLORIDRATO DE TAPENTADOL;100,99;116,01;Novo;Não
CITARABINA;145,08;145,08;Similar;Sim
CLORIDRATO DE PAROXETINA;134,29;134,29;Genérico;Sim
"SINVASTATINA;EZETIMIBA";133,70;133,70;Genérico;Não
ALBUMINA HUMANA;68,63;68,63;Novo;Sim
ALENDRONATO DE SÓDIO TRI-HIDRATADO;41,66;41,66;Similar;Sim
BISSULFATO DE CLOPIDOGREL;19,99;19,99;Similar;Sim
TRETINOÍNA;39,34;39,34;Similar;Sim
TADALAFILA;28,00;28,00;Genérico;Não
"DICLORIDRATO DE HIDROXIZINA;CLORIDRATO DE HIDROXIZINA";14,82;17,03;Similar;Não
BROMOPRIDA;2352,90;2702,86;Similar;Sim
CLADRIBINA;41409,54;41409,54;Novo;Não
IBUPROFENO;15,06;17,30;Novo;Sim
CEFTRIAXONA SÓDICA;1857,10;1857,10;Genérico;Sim
CLORIDRATO DE FEXOFENADINA;10,36;11,90;Similar;Sim
"GLICOSE;CLORETO DE SÓDIO";164,98;164,98;Específico;Sim
IBUPROFENO;17,35;19,93;Similar;Não
IMUNOGLOBULINA HUMANA ;877,67;877,67;Biológico;Não
DIAZEPAM;9,16;9,16;Novo;Não
GLIMEPIRIDA;7,55;7,55;Similar;Não
DIMETICONA;12,84;12,84;Similar;Não
"BESILATO DE ANLODIPINO;LOSARTANA POTÁSSICA";92,25;92,25;Genérico;Não
CLORIDRATO DE DOBUTAMINA;1185,12;1185,12;Genérico;Sim
CELECOXIBE;51,66;51,66;Novo;Sim
ALPRAZOLAM;19,20;19,20;Novo;Não
DICLOFENACO COLESTIRAMINA;13,19;13,19;Similar;Não
CLORIDRATO DE AMBROXOL;889,83;1022,18;Genérico;Não
SECUQUINUMABE;5961,78;6848,49;Biológico;Não
"DEXAMETASONA;TOBRAMICINA";26,17;26,17;Similar;Não
DIAZEPAM;73,76;73,76;Similar;Sim
"NITRATO DE TIAMINA;DICLOFENACO SÓDICO;CLORIDRATO DE PIRIDOXINA;CIANOCOBALAMINA";16,88;16,88;Novo;Não
CLORIDRATO DE METILFENIDATO;26,48;30,42;Novo;Sim
ATORVASTATINA CÁLCICA;46,57;46,57;Genérico;Sim
"BETAMETASONA;MALEATO DE DEXCLORFENIRAMINA";28,09;32,26;Novo;Sim
GLYCINE MAX;48,12;55,27;Fitoterápico;Não
GADOBENATO DE DIMEGLUMINA;528,20;528,20;Novo;Não
CAPTOPRIL;232,66;232,66;Genérico;Não
MESILATO DE IMATINIBE;;;Genérico;Sim
PROPIONATO DE CLOBETASOL;17,22;17,22;Genérico;Sim
